Geography,Call Number,Scale,Location,Index
Switzerland,6040s 50 18- R,"1:50,000",storage,view index
Tanzania,8430s 50 1947-,"1:50,000",storage,view index
Thailand,8025s 250 1982-,"1:250,000",storage,view index
Tobago,5160s 10 1962-,"1:10,000",storage,view index
Tobago,5160s 25 1962,"1:25,000",storage,view index
Tonga Islands,9570s 25 1945-,"1:25,000",storage,view index
Trinidad,5150s 62 1940-,"1:62,500",storage,view index
Trinidad,5150s 10 1966-,"1:10,000",storage,view index
Trinidad,5150s 25 1963-,"1:25,000",storage,view index
Trinidad,5150s 25 1969-,"1:25,000",storage,view index
Tunisia,8250s 50 1938-,"1:50,000",storage,view index
Turkey,7430s 400 1902-,"1:400,000",storage,view index
Turkey,7430s 200 [194-],"1:200,000",storage,view index
Turks & Caicos Is.,4982s T8 25 1968-,"1:25,000",storage,view index
Tutuila Is.,9562s T8 24 1963,"1:24,000",storage,N/A
Uganda,8420s 50 1952-,"1:50,000",storage,view index
Uganda,8420s 250 1958-,"1:250,000",storage,view index
United States,3700s 24-62 1892-,"24,000 to 62,000",storage,view index
United States,3700s 250 1951-,"1:250,000",5th floor,N/A
United States,3700s 100 1975-,"1:100,000",5th floor,N/A
Uruguay,5370s 50 1926-,"1:50,000",storage,view index
Venezuela,5280s 100 1962-,"1:100,000",storage,view index
Venezuela,5280s 250 1948-,"1:250,000",storage,view index
Venezuela,5280s 250 1970-,"1:250,000",storage,view index
West Germany,6295s 50 1953-,"1:50,000",storage,view index
West Germany,6295s 200 1963-,"1:200,000",storage,view index
World,3200s 500 195-?,"1:500,000",5th floor,N/A
World,3200s 500 198-,"1:500,000",5th floor,N/A
World,3200s 1000 1913-,"1:1,000,000",5th floor,N/A
World,3200s 1000 198-,"1:1,000,000",5th floor,N/A
"Yemen, Aden",7553s 10 1958-,"1:10,000",storage,view index
Yugoslavia,6840s 250 1943-,"1:250,000",storage,view index
Zambia,8570s 50 1949-,"1:50,000",storage,view index
Zambia,8570s 250 1957-,"1:250,000",storage,view index
