Area,Date,Revision,Location,NMC,Description,Format,Type,Sheets,Notes
Spanish River,1896,,MDL B2,,COLOUR,paper,plans (large),1,complete set
SPANISH RIVER,1896,1901,MDL G 3401 G475 1878-,9704,BW,microfiche,,,
SPANISH RIVER,1896,1905,MDL G 3401 G475 1878-,9705,BW,microfiche,,,
Spragge,1896,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Spragge,1896,,MDL B2,,COLOUR,paper,plans (large),1,complete set
SPRAGGE,1896,,MDL G 3401 G475 1878-,9706,BW,microfiche,,,
SPRAGGE,1896,1905,MDL G 3401 G475 1878-,9707,BW,microfiche,,,
Springfield,1906,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Springfield,1906,,MDL B2,,COLOUR,paper,plans (large),3-Jan,complete set
Springhill,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,20,
Springhill,1955,,MDL B2,,COLOUR,paper,plans,18-Jan,complete set
Squamish,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,5,
Stanley,1941,,MDL B2,,COLOUR,paper,plans (large),19-Jan,incomplete set (?)
St. Andrews,1949,,MDL B2,,COLOUR,paper,plans (large),9-Jan,complete set
Stayner,1924,,MDL B2,,COLOUR,paper,plans (large),3-Jan,complete set
St. Catharines,1963,,Fisher Rare Book Library,,COLOUR,paper,plans,58,Vol.1
St. Catharines,1963,,Fisher Rare Book Library,,COLOUR,paper,plans,80,Vol.2
St. Catherines,1963,,MDL B2,,COLOUR,paper,plans,100-156,Vol. 1 (complete set)
St. Catherines,1963,,MDL B2,,COLOUR,paper,plans,200-275,Vol. 2 (complete set)
St. Catherines,1963,,MDL B2,,BW,paper,index,,streets and blocks
ST. CATHARINES,1916,,MDL G 3401 G475 1878-,9676,BW,microfiche,,,
St. Constant,1923,,MDL B2,,COLOUR,paper,slips,Trans. 23,
ST. DENIS,1896,1909,MDL G 3401 G475 1878-,9236,BW,microfiche,,,
St. Eugene,1897,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Ste. Therese,1956,,MDL B2,,COLOUR,paper,slips,,
St. Felicien,1951,,MDL B2,,COLOUR,paper,slips,"Trans. 1, 2",
St. George,1894,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
ST. GEORGE,1894,1904,MDL G 3401 G475 1878-,9678,BW,microfiche,,,
St. George,1950,,MDL B2,,COLOUR,paper,plans (large),2,incomplete set
St. George,1950,,MDL B2,,COLOUR,paper,slips,,
St. Hyacinthe,1950,,MDL B2,,COLOUR,paper,slips,,
St. Hyacinthe,1951,,MDL B2,,COLOUR,paper,slips,,
St. Jerome,1948,,MDL B2,,COLOUR,paper,slips,"Trans. 6, 19",
St. Jerome,1949,,MDL B2,,COLOUR,paper,slips,Trans. 15-18,
ST. JOHN,1893,1902,MDL G 3401 G475 1878-1911,51385,BW,microfiche,,,
St. Laurent,1961,,MDL B2,,COLOUR,paper,slips,,
St. Martin's,1941,,MDL B2,,COLOUR,paper,plans (large),3-Jan,complete set
St. Marys,1919,1922,Fisher Rare Book Library,,COLOUR,paper,plans,7,
St. Mary's,1922,1929,MDL B2,,COLOUR,paper,slips,Trans. 1-4,
St. Peter's Bay,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
St. Quentin's,1950,,MDL B2,,COLOUR,paper,plans (large),3-Jan,complete set
ST. STEPHEN,1905,,MDL G 3401 G475 1878-,9076,BW,microfiche,,,
St. Stephen,1941,,MDL  B2,,COLOUR,paper,slips,,
St. Stephen,1950,,MDL B2,,COLOUR,paper,plans (large),16-Jan,complete set
St. Thomas,1922,1929,Fisher Rare Book Library,,COLOUR,paper,plans,18,index in dup.
St.Aime,1906,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
St.Andre Avelin,1908,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
St.Andrews,1897,,Fisher Rare Book Library,,COLOUR,paper,plans,1,2 sh.
St.Andrews,1949,,Fisher Rare Book Library,,COLOUR,paper,plans,9,
St.Armand,1885,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Boniface,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,63,
St. Boniface,1959,,MDL B2,,COLOUR,paper,plans,1900-1995,complete set
St.Casimir,1921,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Charles de Bellechasse,1906,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
St.Chrysostome,1894,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Constant,1913,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Cuthbert,1905,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Etienne de la Malbaie (Murray Bay),1953,,Fisher Rare Book Library,,COLOUR,paper,plans,20,
St. Etienne de la Malbaie,1953,,MDL B2,,COLOUR,paper,plans,17-Jan,complete set
St.Eustache,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,16,
St. Eustache,1960,,MDL B2,,COLOUR,paper,plans,13-Jan,complete set
St.Francois du.Lac,1905,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Gabriel de Brandon,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,15,
St. Gabriel de Brandon,1955,,MDL B2,,COLOUR,paper,plans,13-Jan,complete set
St.George,1950,,Fisher Rare Book Library,,COLOUR,paper,plans,5,
St. George & St. George Ouest,1960,,MDL B2,,COLOUR,paper,plans,21-Jan,complete set
St.Georges de Beauce,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,26,
St.Germain de Grantham,1897,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Guillaume d'Upton,1906,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
St.Henri de Mascouche,1906,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Hilaire,1896,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Hyacinthe,1968,,Fisher Rare Book Library,,COLOUR,paper,plans,67,
St. Hyacinthe,1968,,MDL B2,,COLOUR,paper,plans,Jan-60,complete set
St.Irenee les Bains,1906,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.James,1958,1961,Fisher Rare Book Library,,COLOUR,paper,plans,64,
St. James,1958,1961,MDL B2,,COLOUR,paper,plans,pg. 6001-6177,complete set
St.Jean (St. John),1952,1969,Fisher Rare Book Library,,COLOUR,paper,plans,47,
St.Jean des Chaillons,1897,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St. Jean,1952,1969,MDL B2,,COLOUR,paper,plans,Jan-36,complete set
St.Jerome,1966,,Fisher Rare Book Library,,COLOUR,paper,plans,53,
St. Jerome,1966,,MDL B2,,COLOUR,paper,plans,Jan-49,complete set
St.John,1953,1967,Fisher Rare Book Library,,COLOUR,paper,plans,132,
St. John,1953,1967,MDL B2,,COLOUR,paper,plans,1-113,complete set
